ဆရာကြီး/n|ဦးစိန်/n	ဆရာကြီးဦးစိန်
မြန်မာ/n|အထက်တန်း/n|ကျောင်း/n	မြန်မာအထက်တန်းကျောင်း
မင်းလှ/n|မြို့/n	မင်းလှမြို့
နော်မံ/n|ကျောင်း/n	နော်မံကျောင်း
ရှစ်လေးလုံး/n|လှုပ်ရှား/v|မှု/part	ရှစ်လေးလုံးလှုပ်ရှားမှု
ဗမာ/n|နိုင်ငံ/n|လုံး/part|ဆိုင်ရာ/n|ကျောင်းသား/n|သမဂ္ဂ/n	ဗမာနိုင်ငံလုံးဆိုင်ရာကျောင်းသားသမဂ္ဂ
ဗြိတိသျှ/n|တပ်/n	ဗြိတိသျှတပ်
ငါး/n|ဖမ်း/v|အိမ်/n	ငါးဖမ်းအိမ်
လူ/n|များစု/n	လူများစု
ရာစုနှစ်/n|တဝက်/n	ရာစုနှစ်တဝက်
အိန္ဒိယ/n|အမျိုးသား/n|ကွန်ဂရက်/n	အိန္ဒိယအမျိုးသားကွန်ဂရက်
နိုင်ငံ/n|ရေး/part|အဖွဲ့အစည်း/n	နိုင်ငံရေးအဖွဲ့အစည်း
တစ်/n|နိုင်ငံ/n	တစ်နိုင်ငံ
လွတ်လပ်/v|ရေး/part	လွတ်လပ်ရေး
ကြိုးပမ်း/v|မှု/part	ကြိုးပမ်းမှု
မွန်းမံ/v|ပြင်ဆင်/v|ချက်/part	မွန်းမံပြင်ဆင်ချက်
နိုင်ငံ/n|ရေး/part	နိုင်ငံရေး
ရာပြည့်/n|စာအုပ်တိုက်/n	ရာပြည့်စာအုပ်တိုက်
စာဆို/n|တော်/part	စာဆိုတော်
ရွှေ/n|တံဆိပ်/n	ရွှေတံဆိပ်
သီပေါ/n|မင်း/n	သီပေါမင်း
လွှတ်တော်/n|စာရေး/n	လွှတ်တော်စာရေး
မွန်/n|ကျောက်စာ/n	မွန်ကျောက်စာ
မကုဋ/n|မင်း/n	မကုဋမင်း
ရည်မှန်း/v|ချက်/part	ရည်မှန်းချက်
မြန်မာ/n|စာ/n	မြန်မာစာ
အင်တာနက်/n|ဝန်ဆောင်/v|မှု/part	အင်တာနက်ဝန်ဆောင်မှု
အုပ်ချုပ်/v|ရေး/part	အုပ်ချုပ်ရေး
တရုတ်/n|ပြည်သူ့/n|သမ္မတနိုင်ငံ/n	တရုတ်ပြည်သူ့သမ္မတနိုင်ငံ
အမျိုးသား/n|ဒီမိုကရေစီ/n|အဖွဲ့ချုပ်/n	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်
အနိုင်/n|ရရှိ/v|ကြောင်း/part	အနိုင်ရရှိကြောင်း
လွှဲပြောင်း/v|ရေး/part	လွှဲပြောင်းရေး
အမျိုးသား/n|ရေး/part|စိတ်ဓာတ်/n	အမျိုးသားရေးစိတ်ဓာတ်
ဗိုလ်ချုပ်/n|အောင်ဆန်း/n	ဗိုလ်ချုပ်အောင်ဆန်း
ယုံကြည်/v|မှု/part	ယုံကြည်မှု
အစိုးရ/n|ဌာန/n	အစိုးရဌာန
ပိုင်ဆိုင်/v|မှု/part	ပိုင်ဆိုင်မှု
အမေရိကန်/n|ဒေါ်လာ/n	အမေရိကန်ဒေါ်လာ
နို့စို့/n|အရွယ်/n	နို့စို့အရွယ်
နို့စို့/n|အရွယ်/n|ကလေး/n	နို့စို့အရွယ်ကလေး
ပြည်တွင်း/n|သူပုန်/n	ပြည်တွင်းသူပုန်
ဟိန္ဒူ/n|အုပ်စု/n|ဝင်/v	ဟိန္ဒူအုပ်စုဝင်
အုပ်စု/n|ကြီး/part	အုပ်စုကြီး
ဇာတာတော်ပုံ/n|ရာဇဝင်/n	ဇာတာတော်ပုံရာဇဝင်
မြစ်ကြီးနား/n|မြို့/n	မြစ်ကြီးနားမြို့
မြစ်ကြီးနား/n|မြို့/n	မြစ်ကြီးနားမြို့
အနီ/n|ရောင်/n	အနီရောင်
တက္ကသိုလ်/n|ကျောင်းသား/n|ကျောင်းသူ/n	တက္ကသိုလ်ကျောင်းသားကျောင်းသူ
အထက်/n|မြန်မာ/n|နိုင်ငံ/n|ဒေသ/n	အထက်မြန်မာနိုင်ငံဒေသ
လွှမ်းမိုး/v|မှု/part	လွှမ်းမိုးမှု
ခိုအောင်း/v|ခြင်း/part	ခိုအောင်းခြင်း
အိန္ဒိယ/n|နိုင်ငံ/n	အိန္ဒိယနိုင်ငံ
စစ်/n|အစိုးရ/n	စစ်အစိုးရ
ဆက်ဆံ/v|ရေး/part	ဆက်ဆံရေး
အလယ်/n|ပိုင်း/part|သား/part	အလယ်ပိုင်းသား
ဂျင်ဂစ်ခန်/n|မင်း/n	ဂျင်ဂစ်ခန်မင်း
သုခုမ/n|ပညာ/n	သုခုမပညာ
ကြံစည်/v|ဖန်တီး/v|မှု/part	ကြံစည်ဖန်တီးမှု
ကာကွယ်/v|မှု/part	ကာကွယ်မှု
သခင်/n|ထွန်းအုပ်/n	သခင်ထွန်းအုပ်
ပြောကြား/v|ချက်/part	ပြောကြားချက်
ဆင်ခြင်/v|ဖွယ်/part|ရာ/part	ဆင်ခြင်ဖွယ်ရာ
ယုံကြည်/v|ချက်/part	ယုံကြည်ချက်
ပြည်သူ/n|အများ/n	ပြည်သူအများ
ယုံကြည်/v|ချက်/part	ယုံကြည်ချက်
ဗိုလ်ချုပ်/n|အောင်ဆန်း/n	ဗိုလ်ချုပ်အောင်ဆန်း
ဗိုလ်/n|ထွန်းလှ/n	ဗိုလ်ထွန်းလှ
ပြော/v|ခဲ့/part|ဖူး/part|ကြောင်း/part	ပြောခဲ့ဖူးကြောင်း
ဗိုင်ဩလိုဂျီ/n|ပညာရှင်/n	ဗိုင်ဩလိုဂျီပညာရှင်
ယူဆ/v|ချက်/part	ယူဆချက်
အပင်/n|လောက/n	အပင်လောက
သတ္တဝါ/n|လောက/n	သတ္တဝါလောက
အကိုင်း/n|ကြီး/part	အကိုင်းကြီး
ပေါက်စ/n|လိပ်/n	ပေါက်စလိပ်
နိုင်ငံတော်/n|တည်ဆောက်/v|ရေး/part	နိုင်ငံတော်တည်ဆောက်ရေး
ပင်ကို/n|အရည်အသွေး/n	ပင်ကိုအရည်အသွေး
ဗိုလ်ချုပ်/n|အောင်ဆန်း/n	ဗိုလ်ချုပ်အောင်ဆန်း
ဓာတု/n|အချိုး/n|ဆတိုး/n|နိယာမ/n	ဓာတုအချိုးဆတိုးနိယာမ
အပူပေး/v|စက်/n	အပူပေးစက်
တိုက်ပွဲ/n|ကြီး/part	တိုက်ပွဲကြီး
စည်းလုံး/v|ညီညွတ်/v|ရေး/part	စည်းလုံးညီညွတ်ရေး
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
အမျိုးသား/n|ခေါင်းဆောင်/n	အမျိုးသားခေါင်းဆောင်
