က/v|ခြင်း/part	ကခြင်း
ကက်စပျန်/n|ပင်လယ်/n	ကက်စပျန်ပင်လယ်
ကက်စဘီ/n|ခေတ်/n	ကက်စဘီခေတ်
ကက်ဖာ/n|လူမျိုး/n	ကက်ဖာလူမျိုး
ကက်ဘိနက်/n|အဖွဲ့/n|ဝင်/v	ကက်ဘိနက်အဖွဲ့ဝင်
ကက်သုတ်/n|ရောင်ခြည်/n	ကက်သုတ်ရောင်ခြည်
ကက်သုတ်/n|ရောင်ခြည်တန်း/n	ကက်သုတ်ရောင်ခြည်တန်း
ကခုန်မြူးတူး/v|ခြင်း/part	ကခုန်မြူးတူးခြင်း
ကချင်/n|ကိုယ်စားလှယ်/n	ကချင်ကိုယ်စားလှယ်
ကချင်/n|ခေါင်းပေါင်း/n	ကချင်ခေါင်းပေါင်း
ကချင်/n|ခြေလျင်တပ်/n	ကချင်ခြေလျင်တပ်
ကချင်/n|စစ်တပ်/n	ကချင်စစ်တပ်
ကချင်/n|စစ်တပ်သား/n	ကချင်စစ်တပ်သား
ကချင်/n|စစ်သား/n	ကချင်စစ်သား
ကချင်/n|တပ်/n	ကချင်တပ်
ကချင်/n|တိုင်းရင်းသား/n	ကချင်တိုင်းရင်းသား
ကချင်/n|တောင်တန်း/n|ဒေသ/n	ကချင်တောင်တန်းဒေသ
ကချင်/n|ပြည်နယ်/n	ကချင်ပြည်နယ်
ကချင်/n|လူမျိုး/n	ကချင်လူမျိုး
ကချင်/n|လူမျိုးစု/n	ကချင်လူမျိုးစု
ကချင်/n|လွယ်အိတ်/n	ကချင်လွယ်အိတ်
ကချင်/n|အမျိုးသမီး/n	ကချင်အမျိုးသမီး
ကင်နဒီ/n|အငူ/n	ကင်နဒီအငူ
ကင်မရာ/n|ဖလင်/n	ကင်မရာဖလင်
ကင်မရာ/n|ဘက်ထရီ/n	ကင်မရာဘက်ထရီ
ကင်မရာ/n|ရှပ်တာ/n|ခလုတ်/n	ကင်မရာရှပ်တာခလုတ်
ကင်မွန်းချုံ/n|ရေလှောင်ကန်/n|ကြီး/part	ကင်မွန်းချုံရေလှောင်ကန်ကြီး
ကင်းစင်/v|မှု/part	ကင်းစင်မှု
ကင်းစ်/n|ပန်းခြံ/n	ကင်းစ်ပန်းခြံ
ကင်းဆပ်/n|မြို့/n	ကင်းဆပ်မြို့
ကင်းမဲ့/v|ခြင်း/part	ကင်းမဲ့ခြင်း
ကင်းရှင်း/v|ကြောင်း/part	ကင်းရှင်းကြောင်း
ကင်းလွတ်/v|ရေး/part	ကင်းလွတ်ရေး
ကစား/v|ခြင်း/part	ကစားခြင်း
ကဆုန်/n|လ/n	ကဆုန်လ
ကဌမုခ/n|နဂါး/n	ကဌမုခနဂါး
ကဏ္ဍ/n|ကြီး/part	ကဏ္ဍကြီး
ကဏ္ဍ/n|တွင်း/n	ကဏ္ဍတွင်း
ကဏ္ဍု/n|ခြင်္သေ့/n	ကဏ္ဍုခြင်္သေ့
ကတိ/n|ကြေညာ/v|ချက်/part	ကတိကြေညာချက်
ကတိ/n|သစ္စာ/n	ကတိသစ္စာ
ကတိကဝတ်ပြု/v|ကြောင်း/part	ကတိကဝတ်ပြုကြောင်း
ကတိပြု/v|ချက်/part	ကတိပြုချက်
ကတ်/n|နံပါတ်/n	ကတ်နံပါတ်
