CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2013 Taku Kudo, All rights reserved.

reading training data: 100.. 200.. 300.. 400.. 500.. 600.. 700.. 800.. 900.. 1000.. 1100.. 1200.. 1300.. 1400.. 1500.. 1600.. 1700.. 1800.. 1900.. 2000.. 2100.. 2200.. 2300.. 2400.. 2500.. 2600.. 2700.. 2800.. 2900.. 3000.. 3100.. 3200.. 3300.. 3400.. 3500.. 3600.. 3700.. 3800.. 3900.. 4000.. 4100.. 4200.. 4300.. 4400.. 4500.. 4600.. 4700.. 4800.. 4900.. 5000.. 5100.. 5200.. 5300.. 5400.. 5500.. 5600.. 5700.. 5800.. 5900.. 6000.. 6100.. 6200.. 6300.. 6400.. 6500.. 6600.. 6700.. 6800.. 6900.. 7000.. 7100.. 7200.. 7300.. 7400.. 7500.. 7600.. 7700.. 7800.. 7900.. 8000.. 8100.. 8200.. 8300.. 8400.. 8500.. 8600.. 8700.. 8800.. 8900.. 9000.. 9100.. 9200.. 9300.. 9400.. 9500.. 9600.. 9700.. 9800.. 9900.. 10000.. 10100.. 10200.. 10300.. 10400.. 10500.. 10600.. 10700.. 10800.. 10900.. 11000.. 11100.. 11200.. 11300.. 11400.. 11500.. 11600.. 11700.. 11800.. 11900.. 12000.. 12100.. 12200.. 12300.. 12400.. 12500.. 12600.. 12700.. 12800.. 12900.. 13000.. 13100.. 13200.. 13300.. 13400.. 13500.. 13600.. 13700.. 13800.. 13900.. 14000.. 14100.. 14200.. 14300.. 14400.. 14500.. 14600.. 14700.. 14800.. 14900.. 15000.. 15100.. 15200.. 15300.. 15400.. 15500.. 15600.. 15700.. 15800.. 15900.. 16000.. 16100.. 16200.. 16300.. 16400.. 16500.. 16600.. 16700.. 16800.. 16900.. 17000.. 17100.. 17200.. 17300.. 17400.. 17500.. 17600.. 17700.. 17800.. 17900.. 18000.. 18100.. 18200.. 18300.. 18400.. 18500.. 18600.. 18700.. 18800.. 18900.. 19000.. 19100.. 19200.. 19300.. 19400.. 19500.. 19600.. 19700.. 19800.. 19900.. 20000.. 20100.. 20200.. 20300.. 20400.. 20500.. 20600.. 20700.. 20800.. 20900.. 21000.. 21100.. 21200.. 21300.. 21400.. 21500.. 21600.. 21700.. 21800.. 21900.. 22000.. 22100.. 22200.. 22300.. 22400.. 22500.. 22600.. 22700.. 22800.. 22900.. 23000.. 23100.. 23200.. 23300.. 23400.. 23500.. 23600.. 23700.. 23800.. 23900.. 24000.. 24100.. 24200.. 24300.. 24400.. 24500.. 24600.. 24700.. 24800.. 24900.. 25000.. 25100.. 25200.. 25300.. 25400.. 25500.. 25600.. 25700.. 25800.. 25900.. 26000.. 26100.. 26200.. 26300.. 26400.. 26500.. 26600.. 26700.. 26800.. 26900.. 27000.. 27100.. 27200.. 27300.. 27400.. 27500.. 27600.. 27700.. 27800.. 27900.. 28000.. 28100.. 28200.. 28300.. 28400.. 28500.. 28600.. 28700.. 28800.. 28900.. 29000.. 29100.. 29200.. 29300.. 29400.. 29500.. 29600.. 29700.. 29800.. 29900.. 30000.. 30100.. 30200.. 30300.. 30400.. 30500.. 30600.. 30700.. 30800.. 30900.. 31000.. 
Done!0.92 s

Number of sentences: 31052
Number of features:  1633215
Number of thread(s): 12
Freq:                1
eta:                 0.00010
C:                   1.00000
shrinking size:      20
iter=0 terr=0.99925 serr=1.00000 act=1633215 obj=1219654.35762 diff=1.00000
iter=1 terr=0.31776 serr=0.98879 act=1633215 obj=1142589.02181 diff=0.06319
iter=2 terr=0.31775 serr=0.98879 act=1633215 obj=946816.39539 diff=0.17134
iter=3 terr=0.28961 serr=0.97131 act=1633215 obj=749096.43183 diff=0.20883
iter=4 terr=0.27525 serr=0.97469 act=1633215 obj=555884.69045 diff=0.25793
iter=5 terr=0.24299 serr=0.93852 act=1633215 obj=444278.83735 diff=0.20077
iter=6 terr=0.21805 serr=0.91878 act=1633215 obj=403775.63397 diff=0.09117
iter=7 terr=0.19901 serr=0.89572 act=1633215 obj=359771.66606 diff=0.10898
iter=8 terr=0.17756 serr=0.87122 act=1633215 obj=317335.70594 diff=0.11795
iter=9 terr=0.15835 serr=0.83048 act=1633215 obj=277848.57493 diff=0.12443
iter=10 terr=0.14388 serr=0.78620 act=1633215 obj=255106.07659 diff=0.08185
iter=11 terr=0.12851 serr=0.74163 act=1633215 obj=230695.18931 diff=0.09569
iter=12 terr=0.12112 serr=0.74762 act=1633215 obj=212775.16633 diff=0.07768
iter=13 terr=0.11330 serr=0.71100 act=1633215 obj=198430.57652 diff=0.06742
iter=14 terr=0.10663 serr=0.69203 act=1633215 obj=189287.16302 diff=0.04608
iter=15 terr=0.10373 serr=0.68672 act=1633215 obj=183062.99736 diff=0.03288
iter=16 terr=0.09674 serr=0.67229 act=1633215 obj=169130.92402 diff=0.07611
iter=17 terr=0.08969 serr=0.64588 act=1633215 obj=158199.72698 diff=0.06463
